V4	Fisher_dis2_T316A_r2_pr_counts	Fisher_dis2_T316A_r2gb_counts	Fisher_dis2_T316A_r2term_counts	Fisher_dis2_T316A_r2pr_map	Fisher_dis2_T316A_r2gb_map	Fisher_dis2_T316A_r2term_map	Fisher_dis2_T316A_r2pr_density	Fisher_dis2_T316A_r2pr_densityRPKM	Fisher_dis2_T316A_r2gb_density	Fisher_dis2_T316A_r2gb_densityRPKM	Fisher_dis2_T316A_r2pause_index_CI_low	Fisher_dis2_T316A_r2pause_index_CI_high	Fisher_dis2_T316A_r2pause_index_scaled	Fisher_dis2_T316A_r2pause_index_CI_low_scaled	Fisher_dis2_T316A_r2pause_index_CI_high_scaled	Fisher_dis2_T316A_r2_ExpPR	Fisher_dis2_T316A_r2_ExpGB	Fisher_dis2_T316A_r2Fexact_Pval
SPNCRNA.1066	40	19	4	100	857	300	0.4	496.508921644686	0.0221703617269545	27.519455983807	1.18515990756208	3.76904765970314	18.0421052631579	10.1568204078071	32.3007384436559	3	137	2.03534084632357e-19
SPNCRNA.1067	0	0	0	100	584	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1068	0	11	9	100	2452	300	0	0	0.00448613376835237	5.56851359919611	0.00843437698064696	0.473726222726494	0	0.206810923565463	11.6157669812536	0	100	1
SPNCRNA.1069	0	10	5	100	1968	300	0	0	0.00508130081300813	6.30727796804733	0.00929728784483565	0.525639636497703	0	0.182970624786366	10.3445880462748	0	100	1
SPNCRNA.107	77	2	1	61	319	300	1.26229508196721	1566.85192486233	0.00626959247648903	7.78227149913301	9.32324994900683	226.421508513078	201.33606557377	48.7560120284128	1184.07313468315	0	138	1.86162859129543e-42
SPNCRNA.1070	11	10	9	100	939	300	0.11	136.539953452289	0.0106496272630458	13.2190873707318	0.435501125644603	2.78961371452758	10.329	4.08935556980282	26.194472779414	1	110	0.00975903166443462
SPNCRNA.1071	0	0	8	100	1041	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1072	3	2	0	100	1178	300	0.03	37.2381691233514	0.00169779286926995	2.10742326674315	0.205434456268421	12.7771333780473	17.67	2.42001789484199	150.514631193397	0	103	1
SPNCRNA.1073	0	6	115	100	283	300	0	0	0.0212014134275618	26.3167272956547	0.0157393406208896	0.93492067967121	0	0.0445423339571175	2.64582552346953	2	98	1
SPNCRNA.1074	0	19	2	100	2216	300	0	0	0.00857400722021661	10.6426776977087	0.00484054272324269	0.264551414760663	0	0.107266426747058	5.8624593510963	0	100	1
SPNCRNA.1075	0	0	0	100	340	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1076	8	1	13	100	937	300	0.08	99.3017843289372	0.00106723585912487	1.32473031388657	1.0271722813421	170.598481363121	74.96	9.62460427617552	1598.50777037245	0	108	0.000551833694837027
SPNCRNA.1077	86	7	1	100	1075	300	0.86	1067.49418153607	0.00651162790697674	8.08270337561116	5.49329958529241	28.9549195575601	132.071428571429	59.0529705418934	311.265385243771	1	185	7.18898338634163e-68
SPNCRNA.1078	0	17	3	100	1560	300	0	0	0.0108974358974359	13.52668536532	0.00541762860743838	0.297388981119444	0	0.0845150062760388	4.63926810546332	1	99	1
SPNCRNA.1079	28	10	7	100	1059	300	0.28	347.55624515128	0.00944287063267233	11.721173787646	1.3047086971962	6.15530233399882	29.652	13.8168651033077	65.1846517170475	1	127	4.84898243298652e-17
SPNCRNA.108	1	2	0	100	124	300	0.01	12.4127230411171	0.0161290322580645	20.0205210340599	0.0179700152612445	6.97865092307548	0.62	0.0222828189239432	8.6535271446136	1	100	1
SPNCRNA.1080	1	5	3	100	895	300	0.01	12.4127230411171	0.00558659217877095	6.9344821458755	0.00883974757390515	1.74105855180368	1.79	0.0791157407864511	15.5824740386429	0	101	1
SPNCRNA.1081	5	69	4	100	1017	300	0.05	62.0636152055857	0.0678466076696165	84.2161150282284	0.0257896975335765	0.18662161174064	0.736956521739131	0.262281223916473	1.89794179140231	6	99	1
SPNCRNA.1082	7	108	0	100	3284	300	0.07	86.88906128782	0.0328867235079172	40.8213790633572	0.0276790996254351	0.143948291733322	2.12851851851852	0.908981631699289	4.72726190052229	3	104	1
SPNCRNA.1083	0	31	0	100	990	300	0	0	0.0313131313131313	38.8681226540032	0.00295316473031761	0.159112070807008	0	0.0292363308301444	1.57520950098938	3	97	1
