V4	dis2ts_DMSO_30Cr1_pr_counts	dis2ts_DMSO_30Cr1gb_counts	dis2ts_DMSO_30Cr1term_counts	dis2ts_DMSO_30Cr1pr_map	dis2ts_DMSO_30Cr1gb_map	dis2ts_DMSO_30Cr1term_map	dis2ts_DMSO_30Cr1pr_density	dis2ts_DMSO_30Cr1pr_densityRPKM	dis2ts_DMSO_30Cr1gb_density	dis2ts_DMSO_30Cr1gb_densityRPKM	dis2ts_DMSO_30Cr1pause_index_CI_low	dis2ts_DMSO_30Cr1pause_index_CI_high	dis2ts_DMSO_30Cr1pause_index_scaled	dis2ts_DMSO_30Cr1pause_index_CI_low_scaled	dis2ts_DMSO_30Cr1pause_index_CI_high_scaled	dis2ts_DMSO_30Cr1_ExpPR	dis2ts_DMSO_30Cr1_ExpGB	dis2ts_DMSO_30Cr1Fexact_Pval
SPAC10F6.12c	51	84	18	100	987	300	0.51	243.249933583229	0.0851063829787234	40.5923960923202	0.422465492808853	0.871346230206668	5.9925	4.16973441402338	8.60018729213981	11	140	1.64367355280115e-12
SPAC10F6.13c	53	309	50	100	1199	300	0.53	252.789146664924	0.257714762301918	122.919801594822	0.12673506746513	0.231590972918088	2.05653721682848	1.51955345890691	2.77677576528788	31	122	0.558688669792022
SPAC10F6.14c	5	110	91	100	1579	300	0.05	23.8480327042381	0.0696643445218493	33.2271513295275	0.0163799978958548	0.115447449987087	0.717727272727273	0.258640166775547	1.8229152352961	6	99	1
SPAC10F6.15	2	10	1	100	1234	300	0.02	9.53921308169525	0.00810372771474878	3.8651592713514	0.0303002114505232	0.965353981350509	2.468	0.373904609299456	11.9124681298653	0	102	1
SPAC10F6.16	15	75	37	100	1061	300	0.15	71.5440981127144	0.0706880301602262	33.7154091011849	0.110271627918092	0.357224433691868	2.122	1.16998197221096	3.79015124147072	7	108	1
SPAC10F6.17c	19	83	27	100	1801	300	0.19	90.6225242761049	0.0460855080510827	21.980974063873	0.134587854267346	0.38529701871395	4.12277108433735	2.4239272553549	6.93919930703824	5	114	0.0256085064817084
SPAC110.01	0	448	50	100	5792	300	0	0	0.0773480662983425	36.891984293849	0.000202980813121592	0.0107119509762558	0	0.0117566486960026	0.620436200544737	7	93	1
SPAC110.02	15	356	75	100	3853	300	0.15	71.5440981127144	0.0923955359460161	44.069035259324	0.0241998609704885	0.0721185549874318	1.62345505617978	0.932420643192924	2.77872792366575	9	106	1
SPAC110.03	26	405	86	100	1448	300	0.26	124.009770062038	0.279696132596685	133.404050348293	0.0422577179129475	0.0968121755867875	0.92958024691358	0.61189175537948	1.40184030249668	27	99	1
SPAC110.04c	20	884	88	100	2755	300	0.2	95.3921308169525	0.320871143375681	153.04291042139	0.014127431664695	0.0358284047224264	0.623303167420814	0.389210742362348	0.987072550102848	29	91	1
SPAC110.05	2	30	24	100	1707	300	0.02	9.53921308169525	0.0175746924428823	8.38243680289565	0.011019937571277	0.285599406220113	1.138	0.188110334341698	4.87518186417733	1	101	1
SPAC1142.01	52	241	18	100	1904	300	0.52	248.019540124077	0.126575630252101	60.3715953962331	0.158026312951178	0.293923448542829	4.10821576763485	3.00882099859042	5.59630246025547	17	135	6.07808620545245e-09
SPAC1142.02c	27	229	91	100	1080	300	0.27	128.779376602886	0.212037037037037	101.13332387538	0.0774428195231315	0.17830078397078	1.27336244541485	0.83638245084982	1.92564846688442	22	105	1
SPAC1142.03c	1	72	67	100	2243	300	0.01	4.76960654084763	0.0320998662505573	15.3103732028992	0.000715997910998929	0.0920295000659521	0.311527777777778	0.016059833143706	2.0642216864793	3	98	1
SPAC1142.04	3	190	50	100	2169	300	0.03	14.3088196225429	0.0875979714153988	41.7807857427869	0.00403925228480105	0.0508808163925254	0.342473684210526	0.0876113820573348	1.10360490755388	8	95	1
